gradient1,gradient2,gradient3,gradient4,gradient5
-0.39248198,1.2406087,-0.43328682,-0.31134123,0.26181844
-1.7293258,2.4409304,-0.5729507,-0.1618161,0.011034779
-0.8478274,2.063393,-0.47632608,-0.19350225,0.058309354
-1.9052482,2.5074644,-0.50237674,0.051218055,-0.22119695
-0.18737002,1.2545278,-0.29136232,-0.173301,0.14490676
-1.8467917,2.4607,-0.5425709,0.029599573,-0.17360719
-0.67568326,0.9158363,-0.2051905,-0.059728336,-0.008370222
-1.7969177,2.2462208,-0.48413268,0.16878925,-0.21798146
-1.5256007,1.9681689,-0.42778584,0.030762218,-0.15366453
-1.7086693,2.1729448,-0.48776424,0.15757146,-0.2377471
-1.6202095,1.9642258,-0.46179298,0.1987138,-0.23769787
-0.9514008,1.2218672,-0.19167179,-0.15680628,-0.031657882
-1.9930441,2.351217,-0.5825925,0.3306895,-0.24940437
-0.8756062,1.0517106,-0.19197446,0.15937005,-0.1390795
-0.5683312,0.7220568,-0.14742841,-0.011447901,-0.04578994
-1.6274498,1.8099256,-0.46385443,0.28127688,-0.26087758
-1.3203896,1.5580899,-0.3939657,0.20312396,-0.21560527
-0.45083636,0.5660009,-0.05415131,0.079996765,-0.061793707
-2.135016,2.2513404,-0.6085715,0.40288118,-0.3414852
-0.41051555,1.1349728,-0.48032704,0.26527387,-0.017953694
-0.9531299,1.031136,-0.12885262,-0.24958442,-0.013120638
-2.1614046,2.3125513,-0.63174325,0.44747427,-0.3264843
-1.6015043,1.7573667,-0.44575307,0.31268096,-0.2610435
-0.83942395,1.081989,-0.078139804,0.11558692,-0.1044192
-2.3355556,2.3967044,-0.66318053,0.47438505,-0.37840635
-1.9075629,1.9410121,-0.50209284,0.3918659,-0.2960924
-1.1821127,1.3146378,-0.31629217,0.27705726,-0.19661814
0.2519928,0.22021648,0.19557141,0.2095752,-0.18306333
-1.1752033,1.4429193,-0.32496396,-0.020073704,-0.10594729
-0.2921068,0.5637308,0.044765294,0.2720979,-0.16920938
-1.698372,1.4824369,-0.43473542,0.44083184,-0.16110723
-2.1396015,2.194082,-0.64152294,0.5112961,-0.33722642
-0.1217441,0.5623193,0.16767666,0.23470426,-0.17761642
-1.214936,1.5326391,-0.23524193,0.031045618,-0.13142735
-2.3008766,2.302867,-0.5527529,0.5730526,-0.3307566
-1.2827399,1.3200094,-0.36506444,-0.068721995,-0.05291643
-1.9056306,1.787872,-0.47002742,0.46597457,-0.26572233
-2.217391,2.4399266,-0.8244537,0.60510796,-0.34743547
-1.4095948,1.5842437,-0.33535033,0.38255772,-0.24668254
-0.38254192,0.4690131,-0.06586662,0.13406482,-0.08591616
-0.71914953,1.1530491,-0.65795904,0.38254723,-0.12167204
-1.0598003,1.1784482,-0.34697703,0.019403718,-0.08729261
-1.8142021,1.8684506,-0.45681208,0.44291764,-0.27046755
-0.25931373,0.7486558,0.11164396,0.3325452,-0.27530554
-0.8487553,1.0129024,-0.23096725,0.007374089,-0.07844379
-2.3655014,2.0701385,-0.6027413,0.5875845,-0.32897663
-2.2340944,1.9634786,-0.52361757,0.54976654,-0.29643965
0.42986396,1.1091722,-0.8966111,0.31583744,-0.034554802
